,公司代號,公司名稱,營業收入,營收成長率,本期淨利（淨損）,淨值,股東權益報酬率,股本,資產總額,資產報酬率,總資產週轉率,負債比率,基本每股盈餘（元）,Top_100
0,N_name,Name,Revenue,SV,Income,Networth,Return_Eq,Stock,Total_assete,Reture_A,Turnover,Liab_ratio,EPS,Top_100
320,2375,凱美,4466552,-1.77,581393,7641614,7.75,1358442,13698167,4.31,0.64,40.49,3.42,0
321,2376,技嘉,84602841,36.92,4331235,27413122,16.34,6356889,49429157,8.74,2.79,35.42,6.88,1
322,2377,微星,146502789,21.59,7959505,35539852,23.11,8448562,78397515,10.34,3.44,48.61,9.42,1
323,2379,瑞昱,77759470,28.01,8793526,29468746,30.88,5106849,78095917,11.03,1.42,62.92,17.24,0
324,2380,虹光,1835372,11.64,-412653,1100865,-37.63,1794441,2697041,-15.65,1.06,45.17,-2.36,0
325,2382,廣達,1090858851,5.95,25390060,150292855,17.32,38626274,663857379,3.92,2.87,76.91,6.57,1
326,2383,台光電,27200786,9.32,3694270,16755509,22.88,3329183,27856806,13.62,1.72,47.34,11.33,0
327,2385,群光,95082227,2.73,6567771,32671682,20.62,7394603,75441996,8.91,2.19,55.36,7.8,0
328,2387,精元,21179505,64.34,1293318,8446762,15.95,1962980,22187577,6.04,1.49,53.89,6.39,0
329,2388,威盛,6502715,17.65,4844834,10574427,67.31,4951858,18442050,35.31,1.04,57.13,9.57,0
